Janela,address,tipo
Khamenei_1_Antes,0x437f64649600e302f4335be1130f665394015437,auth
Khamenei_1_Antes,0x248823df26180700e56f632dd7fa64a4d63f9db1,auth
Khamenei_1_Antes,0x6b103e9c53ab6fd657543e03cbbb3139be0893c9,auth
Khamenei_1_Antes,0x000000000004444c5dc75cb358380d2e3de08a90,auth
Khamenei_1_Antes,0x35b7ef9f13017e7b4f28a277f5e67bec774bf7b1,auth
Khamenei_1_Antes,0xca64afc5e76f2ba5859c173e813b6dbf49c6a113,auth
Khamenei_1_Antes,0xcee31c846cbf003f4ceb5bbd234cba03c6e940c7,auth
Khamenei_1_Antes,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,auth
Khamenei_1_Antes,0x05b5dba037afa4bbafaca15bf9f6bfaaad183fe6,auth
Khamenei_1_Antes,0x3202acfd55232f3706aa81a4f18a98686b5e1d1b,auth
Khamenei_1_Antes,0xdd3d72c53ff982ff59853da71158bf1538b3ceee,auth
Khamenei_1_Antes,0x9ca10fd6a079122e455f7cf4df73e0b95751d0c4,auth
Khamenei_1_Antes,0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,auth
Khamenei_1_Antes,0x1f2f10d1c40777ae1da742455c65828ff36df387,auth
Khamenei_2_Choque,0x11950d141ecb863f01007add7d1a342041227b58,hub
Khamenei_2_Choque,0xc80af4a6b0deaeff4a91a1384462586228cb2416,hub
Khamenei_2_Choque,0x990636ecb3ff04d33d92e970d3d588bf5cd8d086,hub
Khamenei_2_Choque,0x3c02290922a3618a4646e3bbca65853ea45fe7c6,hub
Khamenei_2_Choque,0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,hub
Khamenei_2_Choque,0xd4d2960e1e58a597723ae021cc811193f79153b1,hub
Khamenei_2_Choque,0xf89d7b9c864f589bbf53a82105107622b35eaa40,hub
Khamenei_2_Choque,0xf48a3f7c0575c85cf4529aa220caf3c055773f1c,hub
Khamenei_2_Choque,0x9642b23ed1e01df1092b92641051881a322f5d4e,hub
Khamenei_2_Choque,0x4def2ba6a1e865e26814e867ff048847afaa2a7f,auth
Khamenei_2_Choque,0x9be509cbfd7cd6357411b72f3f737f3789239691,auth
Khamenei_2_Choque,0x7da4800a56b42034e06b6cfa05b383e9df781c8a,auth
Khamenei_2_Choque,0xeff6cb8b614999d130e537751ee99724d01aa167,auth
Khamenei_2_Choque,0xe4aa002d49faf0e62b923c924aac54c25702332b,auth
Khamenei_2_Choque,0x5aef1065dc56b2f72ffebbad4c14a63538f3f081,auth
Khamenei_2_Choque,0xeaccfd22526e77faf4bb1012024577dcd83a2940,auth
Khamenei_2_Choque,0xbd50b0e3c8da2144a5266ec26fd8e9219d05032a,auth
